,QUERY,FREQ,is_question
0,hindi movies for adults,595,FALSE
1,are panda dogs real,383,FALSE
2,asuedraw winning numbers,478,FALSE
3,sentry replacement keys,608,FALSE
4,rebuilding nicad battery packs,541,FALSE
5,can you overdose on melatonin,395,FALSE
6,list of browsers,867,FALSE
7,que son numeros naturales,892,FALSE
8,mini motos honda,518,FALSE
9,mulatto,622,FALSE
10,gene autry museum,468,FALSE
11,dominicks,263,FALSE
12,wordz,3216,FALSE
13,all super bowl winners,336,FALSE
14,townhouse with garage floor plan,421,FALSE
15,teacher appreciation quotes,978,FALSE
16,outdoor wooden steps,428,FALSE
17,ceramic classes,285,FALSE
18,boletos primera plus,403,FALSE
19,how to build a shower pan,812,FALSE
20,vintage shoe company,320,FALSE
21,pent house magazine,1209,FALSE
22,ejemplos de quimica,294,FALSE
23,www carnival cruise lines,292,FALSE
24,where is mica found,817,TRUE
25,sonhar com carrapatos,379,FALSE
26,hopi tribe history,293,FALSE
27,vehiculos siniestrados,544,FALSE
28,what causes cheese to mold,289,TRUE
29,how to write a quotation letter,345,FALSE
30,creperas,379,FALSE
31,left side rib pain,400,FALSE
32,safe search off,574,FALSE
33,vtu bangalore results,306,FALSE
34,segunda mano herramientas,322,FALSE
35,concurso magisterio 2013,552,FALSE
36,catherine bell measurements,539,FALSE
37,primera gerra mundial,1108,FALSE
38,eduardo costa ouvir todas as musicas,2027,FALSE
39,gram positive coccobacilli,383,FALSE
40,cheap jewelry,324,FALSE
41,digitador em casa,701,FALSE
42,what is carpe diem,563,TRUE
43,shenandoah river map,291,FALSE
44,how to write a formal invitation,251,FALSE
45,party planner checklist,575,FALSE
46,criminal case game,1188,FALSE
47,toastmaster breadmaker recipes html,320,FALSE
48,shared baixar musicas gratis,1865,FALSE
49,drchatgyi video,1244,FALSE
50,komercijalna banka,625,FALSE
51,horseshoe pits official size,301,FALSE
52,treatment for alopecia,440,FALSE
53,debate silas malafaia,423,FALSE
54,what do baby sparrows eat,956,TRUE
55,god bless america free sheet music,1059,FALSE
56,symptoms testicular cancer,333,FALSE
57,el cartel tv canal caracol,442,FALSE
58,happy anniversary cards,367,FALSE
59,cfe consulta tu recibo,1169,FALSE
60,carvel ice cream cake coupons,567,FALSE
61,descargar virtual dj 6 gratis,532,FALSE
62,reptrax mobile app,257,FALSE
63,ticketmaster phoenix,278,FALSE
64,pc to pc transfer,274,FALSE
65,beyond the rack,944,FALSE
66,busco empleo en barranquilla,457,FALSE
67,how did anne frank get caught,628,TRUE
68,jornal estado de minas online,289,FALSE
69,indiana state park map,347,FALSE
70,www g1 com br,1445,FALSE
71,justin bieber vip passes,528,FALSE
72,what birth control does medicaid cover,1593,FALSE
73,little caesars puebla,264,FALSE
74,ways to test your boyfriend,277,FALSE
75,how to remove chatzum,261,FALSE
76,saints row cars,278,FALSE
77,videos de mujeres cojiendo,3247,FALSE
78,what is the purpose of respiration,295,TRUE
79,tcp ip,550,FALSE
80,aj wright department store,508,FALSE
81,papa johns promo codes,706,FALSE
82,patio umbrella reviews,277,FALSE
83,lionel messi,5090,FALSE
84,w is for witness release date,791,FALSE
85,musica vagalumes,254,FALSE
86,el esqueleto,260,FALSE
87,goodyear precios,271,FALSE
88,what should i eat for dinner,524,TRUE
89,fiat giama mar del plata,290,FALSE
90,building tips homemade greenhouse,804,FALSE
91,jogos de vestir herois,745,FALSE
92,descargar sonido gratis,278,FALSE
93,craftsman table saw,265,FALSE
94,photos of hair styles,346,FALSE
95,what is quebec famous for,395,TRUE
96,carnaval de brasil en vivo,276,FALSE
97,unexplained muscle soreness,427,FALSE
98,matar zombies juegos,444,FALSE
99,stainless steel tubing,251,FALSE
100,2 stroke bikes for sale,294,FALSE
101,yu tube music,4624,FALSE
102,marcela,368,FALSE
103,what was the kansas nebraska act,296,TRUE
104,inea bachillerato,281,FALSE
105,used television,817,FALSE
106,eastern time to central time,470,FALSE
107,scag zero turn mowers,877,FALSE
108,seductive ecards,295,FALSE
109,ejercicios de binomios,297,FALSE
110,desbloqueo de celulares nokia gratis,341,FALSE
111,peliculas coreanas,263,FALSE
112,mime clothing,411,FALSE
113,lsu scores today,347,FALSE
114,lycopene,267,FALSE
115,what are polyps in the uterus,2191,TRUE
116,air mattress plug replacement,274,FALSE
117,dog breeds dog,3913,FALSE
118,escuelas privadas,371,FALSE
119,bibb county jail,357,FALSE
120,free english bulldogs,349,FALSE
121,osteo bi flex side effects,2043,FALSE
122,wshh worldstarhiphop,1311,FALSE
123,drought tolerant plants,408,FALSE
124,musicas e clipes,681,FALSE
125,pfaff sewing machines good prices,423,FALSE
126,ben ten alien force games,506,FALSE
127,air conditioners lowes,404,FALSE
128,5s,1592,FALSE
129,gravel prices,556,FALSE
130,editar fotos con letras,573,FALSE
131,lemon tree pruning,970,FALSE
132,lamar odom,842,FALSE
133,descargar adobe flash,1257,FALSE
134,james drury,721,FALSE
135,how to be popular,284,FALSE
136,como matar garrapatas,501,FALSE
137,nassau game,406,FALSE
138,free uno download,843,FALSE
139,ukio bankas,252,FALSE
140,nokia 1110 html,295,FALSE
141,recipe for egg custard,924,FALSE
142,capitan bado fotos de mortos,472,FALSE
143,about enlarged heart,390,FALSE
144,asian ginger salad dressing,793,FALSE
145,arroyo city cabin rentals,257,FALSE
146,mining chef jobs,303,FALSE
147,cheap leotards,249,FALSE
148,receitas com carne de sol,1246,FALSE
149,rubbermaid sink mats,790,FALSE
150,cine mexicano,10950,FALSE
151,barn owl facts,941,FALSE
152,free english bulldog pets,318,FALSE
153,rodeo xochimilco,408,FALSE
154,what is graviola,650,TRUE
155,katy tur,271,FALSE
156,ivan,300,FALSE
157,lazy boy chair repair,758,FALSE
158,used scag mower sales,725,FALSE
159,belcorp chile,921,FALSE
160,inexpensive bus tickets,338,FALSE
161,como hacer disfraces de animales,248,FALSE
162,deadbeat parent,266,FALSE
163,australia facts unusual,284,FALSE
164,final four tv schedule,1695,FALSE
165,barbi jogos gratis,370,FALSE
166,st hubert menu,465,FALSE
167,como llenar una carta poder simple,296,FALSE
168,canadian gold maple leaf,423,FALSE
169,terrenos na zona leste,880,FALSE
170,revistas de psicologia,363,FALSE
171,horoscopo pedro engel hoy,395,FALSE
172,must all wills be probated,2087,FALSE
173,juegos para lg gratis,6826,FALSE
174,full cartoon episodes,1247,FALSE
